[10/13/25 11:33AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:34AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:34AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:34AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:34AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:35AM] History Hawk used command ::oz | Player rights = PLATINUM_DONATOR	
[10/13/25 11:35AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 11:42AM] History Hawk used command ::voteboss | Player rights = PLATINUM_DONATOR	
[10/13/25 06:17PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:19PM] History Hawk used command ::nephilim | Player rights = PLATINUM_DONATOR	
[10/13/25 06:21PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:25PM] History Hawk used command ::vozzath | Player rights = PLATINUM_DONATOR	
[10/13/25 06:29PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:29PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:33PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:34PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:35PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:37PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:37PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:41PM] History Hawk used command ::slayerboss | Player rights = PLATINUM_DONATOR	
[10/13/25 06:53PM] History Hawk used command ::vboss | Player rights = PLATINUM_DONATOR	
[10/13/25 06:57PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 06:58PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
